文件标题,发布时间,文章来源,索引号,信息分类,发布机构,发文日期,文号,是否有效,信息名称,正文标题,宗地编号/地块编号,宗地总面积/挂牌面积(m2),土地坐落/宗地坐落,使用年限,岀让年限,容积率,建筑密度(%)/建筑密度,绿地率/|绿化率(%),建筑限高/建筑限高(米),土地用途明细/土地用途,投资强度,保证金(万元)/保证金,估价报告备案号,起始价/起始价(万元),加价幅度,挂牌开始时间,挂牌截止时间,获取出让文件时间,获取出让文件地点,报名时间,报名地点,保证金截止时间,确认竞买资格时间,联系地址,联系人,联系电话,开户单位,开户银行,银行帐号,爬取时间,爬取地址url,唯一标识,
安顺市国土资源局黄果树旅游区分局国有土地使用权挂牌出让公告,2019年05月05日 19:14,贵州省自然资源厅,GZ000001/2019-32047,土地出让转让公告,贵州省自然资源厅,2019年05月05日,无,是,安顺市国土资源局黄果树旅游区分局国有土地使用权挂牌出让公告,安顺市国土资源局黄果树旅游区分局国有土地使用权挂牌出让公告(安市公资交（地）字告[2019]23号),|黄果树2019-1号地块|黄果树2019-2号地块,|247.57平方米|1616.36平方米,|黄果树旅游服务区|黄果树旅游服务区,,|40年|40年,|小于或等于5|小于或等于5,|小于或等于1|小于或等于1,|大于或等于30|大于或等于30,|小于或等于22|小于或等于22,|旅馆用地|旅馆用地,|万元/公顷|万元/公顷,|61.67万元|394.88万元,,|61.67万元|394.88万元,|10万元|10万元,|2019年05月08日09时00分|2019年05月08日09时00分,,2019年04月18日 至 2019年05月15日 ,安顺市公共资源交易中心 ,2019年04月18日 至 2019年05月15日 ,安顺市公共资源交易中心 ,2019年05月15日17时00分,2019年05月16日12时00分 ,安顺市西秀区武当山路与定安大道交叉路口企业服务中心,朱丹,0851-33350261,安顺市公共资源交易中心,贵州银行安顺若飞支行,,2020-04-29 10:06:47,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201905/t20190505_25775155.html,8dc61641e98a842d585fa78e9747c337,
德江县自然资源局国有土地使用权挂牌出让公告,2019年05月05日 19:15,贵州省自然资源厅,GZ000001/2019-32048,土地出让转让公告,贵州省自然资源厅,2019年05月05日,无,是,德江县自然资源局国有土地使用权挂牌出让公告,德江县自然资源局国有土地使用权挂牌出让公告(德地交易告字[2019]15号),|德江县水车坝环保燃油项目,|2941平方米,|德江县玉水街道水车坝村,,|40年,|小于或等于1,|小于或等于35,|大于或等于15,|小于或等于15,|其他商服用地,|1020万元/公顷,|75万元,,|150万元,|5万元,|2019年05月14日09时00分,,2019年04月24日 至 2019年05月21日 ,全国公共资源交易平台（贵州省.铜仁市）网站电子招投标服务平台 ,2019年04月24日 至 2019年05月21日 ,全国公共资源交易平台（贵州省.铜仁市）网站电子招投标服务平台 ,2019年05月21日16时00分,2019年05月21日17时00分 ,铜仁市公共资源交易中心德江分中心,陈启芬，张强,0856-8534001，0856-8526954,德江县产权交易中心,贵州银行股份有限公司德江支行,,2020-04-29 10:06:47,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201905/t20190505_25775156.html,c9d4df3b2cc436f18fc4c92730ae58ec,
镇远县自然资源局国有土地使用权挂牌出让公告,2019年05月05日 19:16,贵州省自然资源厅,GZ000001/2019-32049,土地出让转让公告,贵州省自然资源厅,2019年05月05日,无,是,镇远县自然资源局国有土地使用权挂牌出让公告,镇远县自然资源局国有土地使用权挂牌出让公告(镇自然告字[2019]3号),|镇自然资挂,|7810平方米,|镇远县镇远一中对面,,|40年,|大于1并且小于或等于2,|小于或等于42.7,|大于或等于20,|小于或等于25,|旅馆用地,|万元/公顷,|1517万元,,|5056.98万元,|20万元,|2019年05月21日09时00分,,2019年04月29日 至 2019年05月29日 ,黔东南州公共资源交易中心 ,2019年04月29日 至 2019年05月29日 ,黔东南州公共资源交易中心 ,2019年05月29日17时00分,2019年05月29日17时00分 ,黔东南州公共资源交易中心,黄江、孔利娟、文明,,黔东南苗族侗族自治州公共资源交易中心,贵阳银行凯里分行,18910121050000581,2020-04-29 10:06:48,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201905/t20190505_25775157.html,affd464fd05e540ab3af96ced5503606,
威宁县自然资源局国有土地使用权挂牌出让公告,2019年06月29日 15:36,贵州省自然资源厅,GZ000001/2019-05731,土地出让转让公告,贵州省自然资源厅,2019年06月29日,无,是,威宁县自然资源局国有土地使用权挂牌出让公告,威宁县自然资源局国有土地使用权挂牌出让公告(威自然资出公告字[2019]005号),|WN-2019-GY-005|WN-2019-GY-022,|29309.2平方米|11415.3平方米,|威宁县经济开发区工业五路|威宁县经济开发区工业五路,,|50年|40年,|大于或等于1|大于或等于1并且小于或等于1.2,|大于或等于35|小于或等于35,|小于或等于20|大于或等于20,|小于或等于30|小于或等于30,|工业用地|零售商业用地,|万元/公顷|万元/公顷,|407万元|662万元,,|814万元|1323万元,|5万元|5万元,|2019年06月18日09时00分|2019年06月18日09时00分,,2019年05月27日 至 2019年06月16日 ,威宁自治县自然资源局土地储备交易中心 ,2019年05月27日 至 2019年06月16日 ,威宁自治县自然资源局土地储备交易中心 ,2019年06月14日17时00分,2019年06月17日17时00分 ,威宁自治县自然资源局土地储备交易中心,张松,0857-6226722,威宁县财政局土地资金管理专户,中国建设银行贵州威宁支行,52001696536052501,2020-04-29 10:06:48,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201906/t20190629_25807636.html,47910b09d6e15a35b1a1665101f7a38a,
六盘水市国土资源局六枝经济开发区国土资源储备交易中心国有土地使用权挂牌出让公告,2019年06月29日 15:38,贵州省自然资源厅,GZ000001/2019-05732,土地出让转让公告,贵州省自然资源厅,2019年06月29日,无,是,六盘水市国土资源局六枝经济开发区国土资源储备交易中心国有土地使用权挂牌出让公告,六盘水市国土资源局六枝经济开发区国土资源储备交易中心国有土地使用权挂牌出让公告(六经开国土资储交挂告字[2019]3号),|5202032016-j13号|5202032016-j16号,|16126.7平方米|14571平方米,|六枝特区岩脚镇岩脚村|六枝特区岩脚镇岩脚村,,|70年|70年,|大于1并且小于或等于1.3|大于1并且小于或等于1.3,|小于或等于30|小于或等于30,|大于或等于30|大于或等于30,|等于40|等于40,|城镇住宅用地|城镇住宅用地,|万元/公顷|万元/公顷,|484万元|437万元,,|968万元|874万元,|5万元|5万元,|2019年06月17日09时00分|2019年06月17日09时00分,,2019年05月27日 至 2019年06月24日 ,六盘水市公共资源交易中心 ,2019年05月27日 至 2019年06月24日 ,六盘水市公共资源交易中心 ,2019年06月24日16时00分,2019年06月24日16时00分 ,六盘水市公共资源交易中心,王喜,0858-6708718、6708758、2175961,六盘水市公共资源交易中心,贵州银行六盘水官厅支行,,2020-04-29 10:06:49,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201906/t20190629_25807637.html,8eabf3d79732d398a924d69961505241,
松桃苗族自治县自然资源局国有土地使用权挂牌出让公告,2019年06月29日 15:39,贵州省自然资源厅,GZ000001/2019-05734,土地出让转让公告,贵州省自然资源厅,2019年06月29日,无,是,松桃苗族自治县自然资源局国有土地使用权挂牌出让公告,松桃苗族自治县自然资源局国有土地使用权挂牌出让公告(松交易告字[2019]3号),|2017LG006,|13339.43平方米,|蓼皋镇花鼓大道桂花大桥南面西侧,,|50年,|小于或等于0.91,|小于或等于31.04,|大于或等于38.6,|小于或等于35,|教育用地,|万元/公顷,|71.4万元,,|357万元,|10万元,|2019年06月18日09时00分,|2019年06月27日17时00分,2019年05月29日 至 2019年06月25日 ,,2019年05月29日 至 2019年06月25日 ,,2019年06月25日16时30分,2019年06月25日17时00分 ,松桃经济开发区企业服务中心二楼,,0856-2838805、0856-2323125,松桃苗族自治县公共资源交易中心投标保证特设专户,中国农业发展银行松桃苗族自治县支行,20352222900100000,2020-04-29 10:06:50,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201906/t20190629_25807639.html,7cb09590225a9058b8937f4b274f605a,
兴义市自然资源局国有土地使用权挂牌出让公告,2019年06月29日 15:39,贵州省自然资源厅,GZ000001/2019-05733,土地出让转让公告,贵州省自然资源厅,2019年06月29日,无,是,兴义市自然资源局国有土地使用权挂牌出让公告,兴义市自然资源局国有土地使用权挂牌出让公告(兴市自然资公字[2019]63号),|20180158,|13433.9平方米,|清水河镇金星村发泥凼组,,|50年,|大于或等于0.8,|大于或等于35,|小于或等于25,|小于或等于50,|工业用地,|万元/公顷,|302.26275万元,,|0.0225万元,|0.001万元,|2019年06月18日09时00分,|2019年06月28日08时30分备注：5208318IA0042,2019年05月27日 至 2019年06月17日 ,兴义市自然资源局 ,2019年05月27日 至 2019年06月17日 ,兴义市自然资源局 ,2019年06月17日16时30分,2019年06月17日17时00分 ,兴义市自然资源局,,0859-3110762,兴义市土地储备中心,建设银行兴义沙井支行,52050167463600000,2020-04-29 10:06:50,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201906/t20190629_25807638.html,50d64569f2407045d75a47e25b65b3bb,
红果经济开发区国土资源分局国有土地使用权挂牌出让公告,2019年06月29日 15:40,贵州省自然资源厅,GZ000001/2019-05735,土地出让转让公告,贵州省自然资源厅,2019年06月29日,无,是,红果经济开发区国土资源分局国有土地使用权挂牌出让公告,红果经济开发区国土资源分局国有土地使用权挂牌出让公告(红国土资挂告字[2019]03号),|2016-G-19|2018-G-12|2018-G-23|2018-G-24,|15009.56平方米|6187.6平方米|42252平方米|19282平方米,|红果开发区（两河新区）盘州大道与沙坡安置区2号路交叉口|红果开发区（两河新区）红腾路|红果开发区（两河新区）50米快速通道旁|红果开发区（两河新区）,,|40年|50年|40年|40年,|小于3.5|大于或等于1并且小于1|小于1.8|小于或等于2.5,|小于35|大于或等于30|小于50|小于或等于35,|大于35|小于或等于20|大于10|大于或等于25,|小于100|||,|其他商服用地|工业用地|其他商服用地|其他商服用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|1091.95万元|69.62万元|5006.87万元|1417.23万元,,|2183.9万元|139.23万元|10013.73万元|2834.46万元,|3.1万元|1.3万元|8.5万元|3.9万元,|2019年06月30日09时00分|2019年06月30日09时00分|2019年06月30日09时00分|2019年06月30日09时00分,,2019年06月10日 至 2019年07月05日 ,六盘水市公共资源交易中心 ,2019年06月10日 至 2019年07月05日 ,六盘水市公共资源交易中心 ,2019年07月05日16时00分,2019年07月05日17时00分 ,,,,六盘水市公共资源交易中心,贵州银行六盘水官厅支行,,2020-04-29 10:06:51,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201906/t20190629_25807640.html,17d90aba37f7e4baf342ac8a0f82fe22,
关岭自治县自然资源局国有土地使用权挂牌出让公告,2019年06月29日 15:41,贵州省自然资源厅,GZ000001/2019-05737,土地出让转让公告,贵州省自然资源厅,2019年06月29日,无,是,关岭自治县自然资源局国有土地使用权挂牌出让公告,关岭自治县自然资源局国有土地使用权挂牌出让公告(关自然资挂[2019]04号),|关挂-2019-13号|关挂-2019-14号|关挂-2019-15号|关挂-2019-16号|关挂-2019-17号|关挂-2019-18号|关挂-2019-19号|关挂-2019-20号|关挂-2019-21号|关挂-2019-22号,|1705.77平方米|809.1平方米|1743.14平方米|719.27平方米|3640.54平方米|2106.5平方米|14280.9平方米|11245.92平方米|757.81平方米|2261.97平方米,|关岭自治县关索街道办事处枣园路|关岭自治县关索街道办事处滨河西路|关岭自治县关索街道办事处水韵家园旁|关岭自治县关索街道办事处滨河西路|关岭自治县关索街道办事处滨河西路|关岭自治县顶云街道办事处|关岭自治县关索街道办事处文化路|关岭自治县顶云街道办事处对面|关岭自治县龙潭街道办事处法治路|关岭自治县龙潭街道办事处法治路,,|40年|40年|40年|40年|40年|40年|40年|40年|40年|40年,|等于1.94|等于1.25|等于1.58|等于2.37|等于1.25|等于1.23|等于0.29|等于0.67|等于2.74|等于1.66,|小于或等于53.63|小于或等于25.9|小于或等于34.19|小于或等于53.72|小于或等于29.94|小于或等于25.08|小于或等于15.06|小于或等于22.09|小于或等于56.48|小于或等于1.66,|大于或等于20|大于或等于20|大于或等于20|大于或等于20|大于或等于20|大于或等于20|大于或等于20|大于或等于20|大于或等于20|大于或等于20,|小于或等于24|小于或等于24|小于或等于24|小于或等于24|小于或等于24|小于或等于24|小于或等于24|小于或等于24|小于或等于20|小于或等于24,|其他商服用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|72万元|33万元|58万元|37万元|101万元|54万元|380万元|137万元|39万元|93万元,,|360万元|165万元|290万元|185万元|505万元|270万元|1900万元|685万元|195万元|465万元,|5万元|5万元|5万元|5万元|5万元|5万元|5万元|5万元|5万元|5万元,|2019年06月26日09时00分|2019年06月26日09时00分|2019年06月26日09时00分|2019年06月26日09时00分|2019年06月26日09时00分|2019年06月26日09时00分|2019年06月26日09时00分|2019年06月26日09时00分|2019年06月26日09时00分|2019年06月26日09时00分,||||||||||2019年07月07日16时00分,2019年06月06日 至 2019年07月06日 ,安顺市公共资源交易中心 ,2019年06月06日 至 2019年07月06日 ,安顺市公共资源交易中心 ,2019年07月06日17时00分,2019年07月07日12时00分 ,安顺市公共资源交易中心（安顺市西秀区武当山路与定安大道交叉口企业服务中心）,刘燚 潘方瑞,,安顺市公共资源交易中心,贵州银行安顺若飞支行,,2020-04-29 10:06:52,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201906/t20190629_25807642.html,2c104916083551f608183a16aefb0143,
大方县自然资源局国有土地使用权挂牌出让公告,2019年06月29日 15:41,贵州省自然资源厅,GZ000001/2019-05736,土地出让转让公告,贵州省自然资源厅,2019年06月29日,无,是,大方县自然资源局国有土地使用权挂牌出让公告,大方县自然资源局国有土地使用权挂牌出让公告(方自然资挂让告字[2019]7号),|2019DFGY12|2019DFJYJQ13|2019DFWLCC15,|12711.66平方米|4070平方米|6015.54平方米,|东关乡大寨村|顺德街道办事处小路村|红旗街道办事处石关村,,|50年|40年|50年,|大于0.7并且小于或等于1|小于或等于1.5|大于0.7并且小于或等于1.2,|大于或等于30|小于或等于35|大于或等于30,|小于或等于20|大于或等于25|小于或等于20,|小于或等于20|小于或等于12|小于或等于24,|工业用地|零售商业用地|仓储用地,|440万元/公顷|万元/公顷|万元/公顷,|58万元|202万元|82万元,,|290万元|403万元|163万元,|10万元|10万元|10万元,|2019年07月08日09时00分|2019年07月08日09时00分|2019年07月08日09时00分,,2019年06月17日 至 2019年07月15日 ,大方县土地矿权征收储备交易局 ,2019年07月08日 至 2019年07月15日 ,大方县土地矿权征收储备交易局 ,2019年07月15日15时00分,2019年07月15日16时00分 ,大方县土地矿权征收储备交易局,,0857-5234149,大方县财政局预算外资金专户,中国邮政储蓄银行股份有限公司大方县支行,10020493489001000,2020-04-29 10:06:52,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201906/t20190629_25807641.html,8bb06668b04613cce0e0547a2ce3cc30,
